C	METRO_ID	Metropolitan areas	LABOUR_PRODUCTIVITY	UNEMP_R	GDP_PC
IT	IT001	Rome	1.2462248666903042	1.153053696404953	1.263583126440318
IT	IT001	Rome	1.2634643199509359	1.0414005330426634	1.292440268987405
IT	IT001	Rome	1.2449597244809543	0.8274855938906133	1.3028683146227045
IT	IT001	Rome	1.2271138394174939	0.837920468971201	1.2854123399592685
IT	IT001	Rome	1.2410252266158985	0.7794851685199093	1.325298729617564
IT	IT001	Rome	1.2496249046554782	0.766963318423204	1.330680750738675
IT	IT001	Rome	1.2594961201510728	0.7523544933103811	1.3502953451126247
IT	IT001	Rome	1.2707266808545148	0.6135706547385632	1.366837895038058
IT	IT001	Rome	1.2279923229832255	0.7346152056733818	1.340510764677376
IT	IT001	Rome	1.1945937055891307	0.8400074439873187	1.2923385719011902
IT	IT001	Rome	1.1839770885655527	0.9328778322045501	1.2780362635035187
IT	IT001	Rome	1.1905260241744746	0.8848774068338463	1.276332242975799
IT	IT001	Rome	1.1407450180847438	1.0403570455346047	1.230420366996342
IT	IT002	Milan	1.248032082188423	0.5321786291099783	1.4131908986382393
IT	IT002	Milan	1.25798166483363	0.4716563536425689	1.4382408720850282
IT	IT002	Milan	1.2415069003528292	0.46643891610227506	1.443860098357882
IT	IT002	Milan	1.2494813668969913	0.4601779910539224	1.4408377137852317
IT	IT002	Milan	1.2390487908607801	0.4800042537070392	1.451357683020538
IT	IT002	Milan	1.2412195203003	0.43722126587662924	1.471985286032498
IT	IT002	Milan	1.2230047411672915	0.4017426906026307	1.4666296797389753
IT	IT002	Milan		0.38609037798174894	1.4888683230855442
IT	IT002	Milan	1.3151675544669084	0.39756874057039554	1.5696691674918708
IT	IT002	Milan	1.2765421933339693	0.5833095170048586	1.4842290869162154
IT	IT002	Milan	1.3596846634800257	0.6125271672305044	1.5544043027768826
IT	IT002	Milan	1.3590723439897907	0.6062662421821516	1.5527549609422706
IT	IT002	Milan	1.3214235268714505	0.8034853812052614	1.5076043602939075
IT	IT003	Naples	0.8755908840019051	2.7892421090411212	0.5906204884221077
IT	IT003	Naples	0.8848249096035666	2.642110370404833	0.6093488653304707
IT	IT003	Naples	0.8694173392210484	2.4835002691798986	0.6187860907829338
IT	IT003	Naples		2.3843689559143146	0.6152126929067919
IT	IT003	Naples	0.7978094577746634	1.8302770891351017	0.6228288801453192
IT	IT003	Naples	0.8278419421620952	1.695667200595519	0.6274417014870598
IT	IT003	Naples	0.8373695400392474	1.4629694862984108	0.6321797291115687
IT	IT003	Naples	0.8553677943923038	1.248011059638302	0.6374214874981861
IT	IT003	Naples	0.8806617055363394	1.4107951108954717	0.636714098415372
IT	IT003	Naples	0.8805185738252598	1.4660999488225872	0.6069665120302842
IT	IT003	Naples	0.8881036409058044	1.5683617246123476	0.5994477955055575
IT	IT003	Naples	0.8783350538924093	1.7572329635709871	0.5864070592735019
IT	IT003	Naples	0.8517638191168047	2.228889317213556	0.5759903720140657
IT	IT004	Turin	0.9983760670599345	0.819137693826143	1.1046332221692516
IT	IT004	Turin	0.9947168693370402	0.6480057425045029	1.0963817583272262
IT	IT004	Turin	0.9871557590535271	0.6438317924722678	1.0806332381190964
IT	IT004	Turin	0.9719782145272543	0.6208750672949747	1.0720745698322194
IT	IT004	Turin	0.9987522699828143	0.6448752799803266	1.0781473386947638
IT	IT004	Turin	0.9928947315967024	0.5071349289165675	1.0876561483299911
IT	IT004	Turin	0.9978327756289436	0.438264753384688	1.099177767827445
IT	IT004	Turin	0.9975487454675249	0.48313471623121557	1.099846855410256
IT	IT004	Turin	0.9822364947138744	0.5885269545451524	1.0989561474239795
IT	IT004	Turin	0.9257925552056172	0.8640076566726705	0.9998368842334597
IT	IT004	Turin	0.9707609859119679	0.971486870002725	1.0306801576669093
IT	IT004	Turin	0.9684391053250742	0.9453996823012556	1.0467892402716188
IT	IT004	Turin		1.0205307828814876	1.0100145173032222
IT	IT005	Palermo	0.8427810353484209	2.9833307855400544	0.5412728358182438
IT	IT005	Palermo	0.8652146470434593	2.611849232671129	0.5876596503977379
IT	IT005	Palermo		2.4459347188897826	0.5843052314423028
IT	IT005	Palermo	0.8896927074343419	2.390629880962667	0.58281120879391
IT	IT005	Palermo		2.11410569132709	0.592645184956749
IT	IT005	Palermo	0.8183163745219797	1.9826262653116837	0.6143198717343082
IT	IT005	Palermo	0.832329172060362	1.9095821397475692	0.6256988511627853
IT	IT005	Palermo	0.8225150062254956	1.6059272749024638	0.6310710987976889
IT	IT005	Palermo		1.766624351143516	0.6533163458511547
IT	IT005	Palermo	0.8351201389145597	1.8407119642156895	0.631374869314954
IT	IT005	Palermo	0.8707182136022421	1.918973527320098	0.6335168476840872
IT	IT005	Palermo		1.6299274875878156	0.612569625258309
IT	IT005	Palermo	0.826463411214252	1.9961916029164477	0.5856658592113749
IT	IT006	Genova	1.1671289634937234	1.0549658706474274	1.0792036676500192
IT	IT006	Genova	1.178301459417919	0.7847026060602031	1.1206767960015422
IT	IT006	Genova	1.1428330153650228	0.8347900064470247	1.1006451114999736
IT	IT006	Genova	1.0768460481781352	0.7533979808184398	1.1125930663147023
IT	IT006	Genova	1.0875308811661426	0.5363525791422133	1.1255815011881332
IT	IT006	Genova	1.1064122886301149	0.5697441794000944	1.130511564609209
IT	IT006	Genova		0.5259177040616255	1.1501396305452285
IT	IT006	Genova	1.135951222393952	0.45913450354586366	1.1758721631368985
IT	IT006	Genova	1.1318597872059681	0.5645267418598005	1.188678599848246
IT	IT006	Genova	1.0619116245369937	0.581222541988741	1.1317493634299955
IT	IT006	Genova	1.0772579832728588	0.6772233927301489	1.1285024528228447
IT	IT006	Genova	1.0644620083023557	0.7293977681330879	1.1088807264454463
IT	IT006	Genova		0.8045288687133201	1.0846065564849248
IT	IT007	Florence	1.1891614003503321	0.5874834670370936	1.2278689587995906
IT	IT007	Florence	1.1825450608717953	0.4330473158443941	1.2392843906901394
IT	IT007	Florence	1.1439411187395925	0.44348219092498187	1.215636780440012
IT	IT007	Florence		0.40591664063486577	1.2100870251637155
IT	IT007	Florence	1.074296476507588	0.5154828289810378	1.2030754733286837
IT	IT007	Florence	1.0583673382303702	0.4800042537070392	1.202076728697571
IT	IT007	Florence	1.081085183110531	0.4622649660700399	1.2331709429931093
IT	IT007	Florence	1.0899542736048657	0.371481552868926	1.2360071030312623
IT	IT007	Florence	1.0683412837200161	0.4643519410861575	1.2412176919213254
IT	IT007	Florence	1.0387818445621093	0.5196567790132729	1.1886822979241085
IT	IT007	Florence	1.0475973367986782	0.4914826162956858	1.1837908001513116
IT	IT007	Florence	1.0591386252805701	0.6156576297546807	1.1926688237037308
IT	IT007	Florence	1.0311706889356445	0.7273107931169702	1.1620366047427118
IT	IT008	Bari	0.8233093364660606	1.5307961743222316	0.713355664069649
IT	IT008	Bari	0.8295561728039383	1.261576397243066	0.7260722903671963
IT	IT008	Bari		1.1937497092192453	0.7108264443280716
IT	IT008	Bari		1.1770539090903047	0.6977394821477365
IT	IT008	Bari	0.7960037649543219	1.5255787367819376	0.6949408311647588
IT	IT008	Bari	0.8099142385460603	1.433751836072765	0.6876336974090143
IT	IT008	Bari	0.8193275340780524	1.2229673594448913	0.711566851945371
IT	IT008	Bari	0.7959431623787797	0.9161820320756096	0.7161300134112455
IT	IT008	Bari	0.7848556318745652	1.0163568328492527	0.7077781732243846
IT	IT008	Bari	0.7737326737340623	1.1342709212598947	0.6706679819456168
IT	IT008	Bari	0.7798086656253111	1.1593146214533054	0.6741156452424385
IT	IT008	Bari		1.2678373222914188	0.672174683711252
IT	IT008	Bari	0.7636615814022156	1.6695800128940494	0.6525954852062708
IT	IT009	Bologna	1.144196014999536	0.32869856503851597	1.3296167614834196
IT	IT009	Bologna	1.150106542572303	0.34643785267551525	1.3063394871160796
IT	IT009	Bologna	1.1209085871187605	0.29113301474839987	1.2915654098976814
IT	IT009	Bologna	1.100887912141707	0.23791515183740203	1.273551818223857
IT	IT009	Bologna	1.093628393569979	0.30887230238539914	1.2756393820481586
IT	IT009	Bologna	1.095818917820606	0.2963504522886938	1.2800073379381558
IT	IT009	Bologna	1.0834961911033312	0.3078288148773404	1.3256532166037986
IT	IT009	Bologna	1.09729682887139	0.25461095196634254	1.313973900585643
IT	IT009	Bologna		0.22643678924875546	1.2765691839792659
IT	IT009	Bologna	1.0271559967076436	0.35478575273998547	1.2053806953323125
IT	IT009	Bologna		0.5123523664568614	1.2708287136477818
IT	IT009	Bologna	1.1086885903955372	0.48626517875539194	1.303267970964115
IT	IT009	Bologna	1.0957351705428466	0.7137454555122061	1.2591866425365255
IT	IT010	Catania	0.841445646937605	2.587849019985777	0.6231125753936174
IT	IT010	Catania	0.8453690800108113	2.404195218567431	0.6250250089110085
IT	IT010	Catania	0.8329858522298466	2.3029769302857295	0.6235185712936492
IT	IT010	Catania	0.8242318761754863	2.2988029802534946	0.6315795842287631
IT	IT010	Catania	0.8363167606239246	1.534970124354467	0.6247899169454728
IT	IT010	Catania		1.5902749622815822	0.6420181957950977
IT	IT010	Catania	0.835127650791595	1.2751417348478302	0.644499868847016
IT	IT010	Catania	0.8485883253678772	1.2031410967917744	0.6418758198743969
IT	IT010	Catania	0.844292343798457	1.2490545471463608	0.6456613288160726
IT	IT010	Catania	0.8121610003626004	1.1728799590580699	0.611109941885781
IT	IT010	Catania	0.8139702460977558	1.242793622098008	0.601920487516096
IT	IT010	Catania	0.798373153087872	1.2939245099928884	0.5866978865252489
IT	IT010	Catania	0.7802789700348368	1.710276025708342	0.565290517802883
IT	IT011	Venice	0.9789066014383146	0.5133958539649202	1.0666817186317972
IT	IT011	Venice	0.9436800601283277	0.5321786291099783	1.0624062146383588
IT	IT011	Venice	0.948155717675486	0.46852589111839266	1.043283464354103
IT	IT011	Venice	0.9519324661227988	0.4163515157154536	1.0527180483238072
IT	IT011	Venice		0.5207002665213317	1.0736473086668252
IT	IT011	Venice	0.9716426163451064	0.4580910160378048	1.0785287688051386
IT	IT011	Venice	1.015762001922756	0.5227872415374493	1.121251582649863
IT	IT011	Venice	1.0297349053033693	0.31826368995792814	1.1219082552637076
IT	IT011	Venice	0.9618401243732002	0.3673076028366909	1.066272288804179
IT	IT011	Venice	0.9484085836983931	0.5655702293678593	1.0215939852730942
IT	IT011	Venice	0.9567835144980223	0.672005955189855	1.0260438271286152
IT	IT011	Venice	0.9616022821043639	0.5540918667792126	1.031439583960072
IT	IT011	Venice	0.9418285854628113	0.8796599692935523	0.9989564780299425
IT	ITA	Italy	0.9375657982689392	1.1060967585423078	0.9255174460724682
IT	ITA	Italy	0.9380957916473406	0.980878257575254	0.941310607339222
IT	ITA	Italy	0.9292545154004069	0.947486657317373	0.9432267389324756
IT	ITA	Italy	0.9300579817076368	0.9224429571239623	0.9423024841151616
IT	ITA	Italy	0.9397784521032646	0.8347900064470247	0.9511382439434397
IT	ITA	Italy	0.9468263184639282	0.8066158437294377	0.9538848577160687
IT	ITA	Italy	0.9509443497570915	0.7074845304638535	0.9698489229173186
IT	ITA	Italy	0.9591966542397109	0.6344404048997387	0.9814492586009854
IT	ITA	Italy		0.7012236054155008	0.9640400381823809
IT	ITA	Italy	0.9048358394428446	0.8087028187455552	0.905827569439892
IT	ITA	Italy	0.9273323884860174	0.8723555567371408	0.9183717069132878
IT	ITA	Italy	0.9298312042306498	0.8723555567371408	0.9210448874652215
IT	ITA	Italy		1.1113141960826016	0.895083074170085
IT	ITA	Italy		1.2678373222914188	0.8755918370409727
